Country,"Government revenue as % of GDP
2015–2023 (R)",Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,Health_budget,education_budget,social protection_budget,ODA inflow,ODA inflow_GNI,ODA outflow,Ouflow as a % of donor GNI,GDP per Capita
Paraguay,14.1,12.0,4.5,3.4,1.3,18.0,24.1,10.6,101.0,0.2,,,6276.35113919957
Peru,18.2,13.7,4.0,3.9,1.2,16.9,17.9,9.0,851.0,0.4,,,7906.58502858
Philippines,16.1,14.2,2.1,3.6,0.5,8.0,15.7,3.9,1841.0,0.4,,,3805.0
Poland,22.1,18.6,4.6,4.9,1.0,10.5,11.2,5.6,,,3481.0,,22056.6661704127
Portugal,28.0,17.0,7.0,4.6,,14.7,9.7,0.0,,,440.0,,27331.2094945255
Qatar,,12.9,2.5,3.2,,8.4,9.3,0.0,,,,,80196.0
RepublicofKorea,32.0,18.9,6.0,5.4,,14.4,14.3,0.0,,,2906.0,,33121.3712885508
RepublicofMoldova,20.0,18.1,5.1,6.1,1.1,14.6,15.8,6.2,933.0,6.1,,,6729.41286813969
Romania,22.5,16.9,4.9,3.3,1.2,12.3,8.1,7.2,,,,,18404.2730871704
RussianFederation,22.1,18.5,5.3,3.7,1.2,15.1,8.9,6.3,,,,,13817.0
Rwanda,18.5,16.6,3.0,4.1,0.7,9.5,12.2,4.2,1121.0,8.3,,,1010.2689290184
SaintKittsandNevis,28.5,,3.5,3.6,,7.9,6.2,,,,,,22573.6724791004
SaintLucia,19.4,,2.6,4.2,,8.7,16.3,,36.0,1.6,,,13554.6651875402
SaintVincentandtheGrenadines,25.6,,3.6,5.5,,9.6,12.9,,16.0,1.6,,,10520.4441534791
Samoa,32.3,18.2,5.1,4.5,0.1,14.7,16.2,0.4,131.0,15.6,,,4330.17840531329
SanMarino,25.1,18.5,7.0,3.1,,17.9,7.9,0.0,,,,,53000.0
SaoTomeandPrincipe,,,3.4,5.2,0.0,13.1,18.3,,57.0,9.6,,,2940.93352926715
SaudiArabia,30.5,23.3,4.6,,,14.4,,0.0,,,,,32093.9622984711
Senegal,21.3,14.7,1.1,5.6,0.9,4.4,22.5,5.9,1522.0,5.4,,,1706.44218024762
Serbia,28.0,15.9,6.3,3.3,1.2,13.4,7.1,7.5,558.0,0.8,,,12281.0
Seychelles,29.4,21.3,4.0,4.7,2.6,10.2,6.7,12.1,0.0,1.0,,,17879.2396545075
